Setting,Metric,L-SLR,SLR,RandomForest,XGBoost,CatBoost,TabPFN
Setting 1,AUC,0.906 ± 0.013,0.870 ± 0.035,0.890 ± 0.015,0.871 ± 0.015,0.888 ± 0.013,0.915 ± 0.010
Setting 1,MSE,0.175 ± 0.015,0.206 ± 0.031,0.192 ± 0.017,0.213 ± 0.017,0.195 ± 0.014,0.166 ± 0.012
Setting 1,Time,0.107 ± 0.054,7.963 ± 1.561,2.937 ± 0.618,1.072 ± 0.295,5.057 ± 1.053,15.922 ± 0.476
Setting 2,AUC,0.498 ± 0.014,0.875 ± 0.026,0.830 ± 0.023,0.784 ± 0.020,0.821 ± 0.022,0.846 ± 0.019
Setting 2,MSE,0.499 ± 0.012,0.210 ± 0.021,0.252 ± 0.024,0.292 ± 0.019,0.259 ± 0.021,0.241 ± 0.019
Setting 2,Time,0.063 ± 0.018,8.228 ± 1.966,3.106 ± 0.821,1.159 ± 0.384,5.223 ± 1.224,16.100 ± 0.371
Setting 3,AUC,0.937 ± 0.015,0.961 ± 0.010,0.959 ± 0.009,0.948 ± 0.009,0.961 ± 0.008,0.971 ± 0.006
Setting 3,MSE,0.132 ± 0.018,0.101 ± 0.014,0.112 ± 0.017,0.126 ± 0.014,0.107 ± 0.013,0.088 ± 0.011
Setting 3,Time,0.196 ± 0.080,9.425 ± 1.705,2.854 ± 0.558,0.899 ± 0.216,5.184 ± 1.088,16.081 ± 0.535
Setting 4,AUC,0.893 ± 0.021,0.821 ± 0.047,0.880 ± 0.016,0.861 ± 0.019,0.880 ± 0.015,0.909 ± 0.013
Setting 4,MSE,0.130 ± 0.017,0.151 ± 0.013,0.158 ± 0.014,0.148 ± 0.012,0.141 ± 0.011,0.116 ± 0.010
Setting 4,Time,0.188 ± 0.111,8.694 ± 1.884,2.959 ± 0.588,0.904 ± 0.236,5.206 ± 1.018,16.102 ± 0.241
Setting 5,AUC,0.914 ± 0.014,0.888 ± 0.023,0.921 ± 0.012,0.903 ± 0.013,0.916 ± 0.012,0.936 ± 0.008
Setting 5,MSE,0.147 ± 0.016,0.164 ± 0.019,0.159 ± 0.015,0.180 ± 0.016,0.164 ± 0.014,0.138 ± 0.011
Setting 5,Time,0.240 ± 0.117,11.889 ± 1.174,2.917 ± 0.586,1.081 ± 0.265,5.485 ± 1.123,16.147 ± 0.248
Setting 6,AUC,0.859 ± 0.017,0.945 ± 0.015,0.901 ± 0.014,0.892 ± 0.016,0.906 ± 0.014,0.937 ± 0.011
Setting 6,MSE,0.202 ± 0.020,0.113 ± 0.021,0.168 ± 0.015,0.183 ± 0.018,0.167 ± 0.015,0.131 ± 0.014
Setting 6,Time,0.152 ± 0.073,12.146 ± 1.059,2.833 ± 0.581,1.006 ± 0.227,5.525 ± 1.250,16.101 ± 0.273
Setting 7,AUC,0.821 ± 0.026,0.780 ± 0.043,0.792 ± 0.020,0.774 ± 0.019,0.784 ± 0.020,0.823 ± 0.016
Setting 7,MSE,0.258 ± 0.024,0.289 ± 0.035,0.280 ± 0.017,0.295 ± 0.018,0.289 ± 0.018,0.256 ± 0.015
Setting 7,Time,0.190 ± 0.084,30.803 ± 4.536,3.215 ± 0.670,1.929 ± 0.496,8.405 ± 1.476,30.716 ± 0.890
Setting 8,AUC,0.810 ± 0.043,0.742 ± 0.047,0.769 ± 0.027,0.761 ± 0.024,0.773 ± 0.022,0.818 ± 0.020
Setting 8,MSE,0.267 ± 0.036,0.322 ± 0.039,0.300 ± 0.023,0.305 ± 0.022,0.296 ± 0.020,0.259 ± 0.020
Setting 8,Time,1.606 ± 0.757,238.995 ± 31.565,3.254 ± 0.644,3.725 ± 0.701,16.493 ± 2.562,65.790 ± 1.282
